Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Apple,Ultrabook,8,0,1,1.37,11.175768558816314,0,1,226.98,5,0,128
Apple,Ultrabook,8,0,1,1.34,10.776798196213473,0,0,127.68,5,0,0
HP,Notebook,8,0,2,1.86,10.329963707833757,0,0,141.21,5,0,256
Apple,Ultrabook,16,1,1,1.83,11.814483341632057,0,1,220.53,7,0,512
Apple,Ultrabook,8,0,1,1.37,11.473111379006117,0,1,226.98,5,0,256
Acer,Notebook,4,1,0,2.1,9.967072494161238,0,0,100.45,2,500,0
Apple,Ultrabook,16,0,1,2.04,11.644116885995366,0,1,220.53,7,0,0
Apple,Ultrabook,8,0,1,1.34,11.03063119023011,0,0,127.68,5,0,0
Asus,Ultrabook,16,2,0,1.3,11.285455066338496,0,0,157.35,7,0,512
Acer,Ultrabook,8,0,0,1.6,10.621975915807171,0,1,157.35,5,0,256
HP,Notebook,4,0,2,1.86,9.951705743636337,0,0,100.45,5,500,0
HP,Notebook,4,0,2,1.86,9.819130859661563,0,0,141.21,3,500,0
Apple,Ultrabook,16,1,1,1.83,11.775309741545168,0,1,220.53,7,0,256
Dell,Notebook,4,1,0,2.2,10.188004320693702,0,0,141.21,3,0,256
Apple,Ultrabook,8,0,1,0.92,11.11634584374235,0,1,226.42,1,0,256
Apple,Ultrabook,8,0,1,1.37,11.301084596994947,0,1,226.98,5,0,256
Dell,Notebook,8,1,0,2.2,10.588970437272568,0,0,141.21,7,0,256
Apple,Ultrabook,16,1,1,1.83,11.933444951799322,0,1,220.53,7,0,512
Lenovo,Notebook,8,2,2,2.2,10.188204734039374,0,0,141.21,3,1000,0
Dell,Ultrabook,8,0,0,1.22,10.862111839946362,1,1,165.63,5,0,128
Asus,Netbook,2,0,0,0.98,9.232633229407275,0,0,135.09,1,0,0
Lenovo,Gaming,8,2,0,2.5,10.882334592260529,0,1,141.21,5,1000,128
HP,Notebook,4,1,2,1.86,9.528593355673575,0,0,100.45,2,500,0
Dell,2 in 1 Convertible,8,0,0,1.62,10.683668026512203,1,0,165.63,5,0,256
HP,Ultrabook,8,0,0,1.91,10.466313041010059,0,0,141.21,7,0,256
Dell,Notebook,4,0,0,2.3,10.012617220008426,0,0,100.45,3,1000,0
Apple,Ultrabook,8,0,1,1.35,10.977734058532482,0,0,127.68,5,0,0
Dell,Notebook,8,1,0,2.2,10.660196214585818,0,0,141.21,5,0,256
Dell,Ultrabook,8,0,0,1.88,11.14415538315185,0,0,141.21,7,0,512
HP,Notebook,8,2,0,2.5,10.773522386274244,0,0,127.34,5,1000,0
Chuwi,Notebook,4,0,0,1.89,9.476855027029316,0,0,141.21,1,0,0
Asus,Notebook,2,1,0,1.65,9.268960161930154,0,0,111.94,2,0,0
HP,Notebook,4,1,0,2.71,10.060103191853011,0,0,127.34,2,500,0
Dell,Ultrabook,16,0,0,1.2,11.508729875782148,1,0,276.05,7,0,512
Apple,Ultrabook,8,0,1,1.35,10.881333108748292,0,0,127.68,5,0,0
Lenovo,Notebook,4,0,0,1.44,9.49308929643757,0,0,111.94,1,0,0
Acer,Notebook,4,0,2,2.1,9.88097401403836,0,0,100.45,3,1000,0
Dell,Notebook,8,1,0,2.8,10.862111839946362,0,1,127.34,5,1000,128
HP,Notebook,4,0,0,1.86,10.167327773397746,0,0,100.45,5,1000,0
HP,Notebook,8,2,0,2.1,10.754367276099781,0,0,141.21,5,0,256
Asus,Notebook,4,0,2,2.0,9.939188617449547,0,0,141.21,3,1000,0
Dell,Gaming,16,2,0,2.65,11.288127045116099,0,1,141.21,7,1000,256
Asus,Notebook,8,2,2,2.3,10.235159256444781,0,0,100.45,5,1000,0
Acer,Notebook,4,0,0,2.2,10.500618203885733,0,1,141.21,5,0,256
Dell,2 in 1 Convertible,12,2,0,2.77,10.882334592260529,1,0,127.34,5,1000,0
Apple,Ultrabook,8,0,1,1.37,11.233281930062116,0,1,226.98,5,0,256
Lenovo,Notebook,4,0,2,2.2,9.88640853285114,0,0,100.45,3,0,128
Asus,Gaming,8,1,0,3.2,11.14492549142712,0,0,127.34,2,1000,256
Dell,Notebook,4,1,0,2.3,10.435494852273417,0,0,141.21,5,0,256
Asus,Notebook,4,2,0,2.8,10.11978693587454,0,0,90.58,1,1000,0
Lenovo,2 in 1 Convertible,4,0,2,0.69,9.740810963551926,1,1,224.17,1,0,0
Acer,Notebook,8,2,0,2.2,10.7101750031603,0,1,141.21,7,0,256
HP,Notebook,4,1,0,1.86,9.963290528658876,0,0,141.21,2,0,256
HP,Notebook,8,0,0,1.49,10.981367061450355,0,0,165.63,7,0,512
Acer,Notebook,4,0,0,2.4,9.92625245462742,0,0,100.45,3,1000,0
Dell,Notebook,8,1,0,2.13,10.619114753366912,0,0,141.21,7,0,256
HP,Notebook,4,0,0,1.91,10.060103191853011,0,0,141.21,3,0,128
Asus,Notebook,4,0,0,2.0,10.34923701306093,0,0,100.45,5,0,256
MSI,Gaming,16,2,0,2.43,11.779003747004984,0,0,127.34,7,2000,256
Asus,Notebook,4,0,2,2.0,10.00388477138901,0,0,141.21,3,0,256
Dell,Notebook,16,1,0,2.8,11.14492549142712,0,0,127.34,7,2000,256
Dell,Ultrabook,8,0,0,1.7,10.754367276099781,0,0,157.35,5,0,256
