Company,TypeName,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Apple,Ultrabook,8,0,1,1.37,0,1,226.98,5,0,128
Apple,Ultrabook,8,0,1,1.34,0,0,127.68,5,0,0
HP,Notebook,8,0,2,1.86,0,0,141.21,5,0,256
Apple,Ultrabook,16,1,1,1.83,0,1,220.53,7,0,512
Apple,Ultrabook,8,0,1,1.37,0,1,226.98,5,0,256
Acer,Notebook,4,1,0,2.1,0,0,100.45,2,500,0
Apple,Ultrabook,16,0,1,2.04,0,1,220.53,7,0,0
Apple,Ultrabook,8,0,1,1.34,0,0,127.68,5,0,0
Asus,Ultrabook,16,2,0,1.3,0,0,157.35,7,0,512
Acer,Ultrabook,8,0,0,1.6,0,1,157.35,5,0,256
HP,Notebook,4,0,2,1.86,0,0,100.45,5,500,0
HP,Notebook,4,0,2,1.86,0,0,141.21,3,500,0
Apple,Ultrabook,16,1,1,1.83,0,1,220.53,7,0,256
Dell,Notebook,4,1,0,2.2,0,0,141.21,3,0,256
Apple,Ultrabook,8,0,1,0.92,0,1,226.42,1,0,256
Apple,Ultrabook,8,0,1,1.37,0,1,226.98,5,0,256
Dell,Notebook,8,1,0,2.2,0,0,141.21,7,0,256
Apple,Ultrabook,16,1,1,1.83,0,1,220.53,7,0,512
Lenovo,Notebook,8,2,2,2.2,0,0,141.21,3,1000,0
Dell,Ultrabook,8,0,0,1.22,1,1,165.63,5,0,128
Asus,Netbook,2,0,0,0.98,0,0,135.09,1,0,0
Lenovo,Gaming,8,2,0,2.5,0,1,141.21,5,1000,128
HP,Notebook,4,1,2,1.86,0,0,100.45,2,500,0
Dell,2 in 1 Convertible,8,0,0,1.62,1,0,165.63,5,0,256
HP,Ultrabook,8,0,0,1.91,0,0,141.21,7,0,256
Dell,Notebook,4,0,0,2.3,0,0,100.45,3,1000,0
Apple,Ultrabook,8,0,1,1.35,0,0,127.68,5,0,0
Dell,Notebook,8,1,0,2.2,0,0,141.21,5,0,256
Dell,Ultrabook,8,0,0,1.88,0,0,141.21,7,0,512
HP,Notebook,8,2,0,2.5,0,0,127.34,5,1000,0
Chuwi,Notebook,4,0,0,1.89,0,0,141.21,1,0,0
Asus,Notebook,2,1,0,1.65,0,0,111.94,2,0,0
HP,Notebook,4,1,0,2.71,0,0,127.34,2,500,0
Dell,Ultrabook,16,0,0,1.2,1,0,276.05,7,0,512
Apple,Ultrabook,8,0,1,1.35,0,0,127.68,5,0,0
Lenovo,Notebook,4,0,0,1.44,0,0,111.94,1,0,0
Acer,Notebook,4,0,2,2.1,0,0,100.45,3,1000,0
Dell,Notebook,8,1,0,2.8,0,1,127.34,5,1000,128
HP,Notebook,4,0,0,1.86,0,0,100.45,5,1000,0
HP,Notebook,8,2,0,2.1,0,0,141.21,5,0,256
Asus,Notebook,4,0,2,2.0,0,0,141.21,3,1000,0
Dell,Gaming,16,2,0,2.65,0,1,141.21,7,1000,256
